time,.enc_left_wheel,.enc_right_wheel
2025/07/11/14:09:57.177260,56,31
2025/07/11/14:09:57.227440,6,0
2025/07/11/14:09:57.277473,0,0
2025/07/11/14:09:57.327227,0,0
2025/07/11/14:09:57.377249,0,0
2025/07/11/14:09:57.427288,0,0
2025/07/11/14:09:57.477216,0,0
2025/07/11/14:09:57.527269,0,0
2025/07/11/14:09:57.577205,0,0
2025/07/11/14:09:57.627360,0,0
2025/07/11/14:09:57.677290,0,0
2025/07/11/14:09:57.727336,0,0
2025/07/11/14:09:57.777236,0,0
2025/07/11/14:09:57.827557,0,0
2025/07/11/14:09:57.877251,0,0
2025/07/11/14:09:57.927450,0,0
2025/07/11/14:09:57.977301,0,0
2025/07/11/14:09:58.027238,0,0
2025/07/11/14:09:58.077369,0,0
2025/07/11/14:09:58.127374,0,0
2025/07/11/14:09:58.177225,0,0
2025/07/11/14:09:58.227379,0,0
2025/07/11/14:09:58.277253,0,0
2025/07/11/14:09:58.327358,0,0
2025/07/11/14:09:58.377229,0,0
2025/07/11/14:09:58.427290,0,0
2025/07/11/14:09:58.477295,0,0
2025/07/11/14:09:58.527362,0,0
2025/07/11/14:09:58.577223,0,0
2025/07/11/14:09:58.627184,0,0
2025/07/11/14:09:58.677284,0,0
2025/07/11/14:09:58.727284,0,0
2025/07/11/14:09:58.777185,0,0
2025/07/11/14:09:58.827281,0,0
2025/07/11/14:09:58.877507,0,0
2025/07/11/14:09:58.927392,0,0
2025/07/11/14:09:58.977502,0,0
2025/07/11/14:09:59.027476,0,0
2025/07/11/14:09:59.077327,0,0
2025/07/11/14:09:59.127280,0,0
2025/07/11/14:09:59.177272,0,0
2025/07/11/14:09:59.227324,0,0
2025/07/11/14:09:59.277243,0,0
2025/07/11/14:09:59.327451,0,0
2025/07/11/14:09:59.377475,0,0
2025/07/11/14:09:59.427264,0,0
2025/07/11/14:09:59.477219,0,0
2025/07/11/14:09:59.527287,0,0
2025/07/11/14:09:59.577474,0,0
2025/07/11/14:09:59.627452,0,0
2025/07/11/14:09:59.677408,0,0
2025/07/11/14:09:59.727272,0,0
2025/07/11/14:09:59.777252,0,0
2025/07/11/14:09:59.827293,0,0
2025/07/11/14:09:59.877449,0,0
2025/07/11/14:09:59.927469,0,0
2025/07/11/14:09:59.977389,0,0
2025/07/11/14:10:00.027261,0,0
2025/07/11/14:10:00.077239,0,0
2025/07/11/14:10:00.127342,0,0
2025/07/11/14:10:00.177325,0,0
2025/07/11/14:10:00.227205,0,0
2025/07/11/14:10:00.277254,0,0
2025/07/11/14:10:00.327328,0,0
2025/07/11/14:10:00.377252,0,0
2025/07/11/14:10:00.427216,0,0
2025/07/11/14:10:00.477217,0,0
2025/07/11/14:10:00.527137,0,0
2025/07/11/14:10:00.577128,0,0
2025/07/11/14:10:00.627178,0,0
2025/07/11/14:10:00.677158,0,0
2025/07/11/14:10:00.727161,0,0
2025/07/11/14:10:00.777267,0,0
2025/07/11/14:10:00.827346,0,0
2025/07/11/14:10:00.877191,0,0
2025/07/11/14:10:00.927090,0,0
2025/07/11/14:10:00.977101,0,0
2025/07/11/14:10:01.027268,0,0
2025/07/11/14:10:01.077167,0,0
2025/07/11/14:10:01.127525,0,0
2025/07/11/14:10:01.177279,0,0
2025/07/11/14:10:01.227232,0,0
2025/07/11/14:10:01.277243,0,0
2025/07/11/14:10:01.327258,0,0
