time,.enc_left_wheel,.enc_right_wheel
2025/07/11/14:09:01.277109,0,0
2025/07/11/14:09:01.327213,0,0
2025/07/11/14:09:01.377362,0,0
2025/07/11/14:09:01.427188,0,0
2025/07/11/14:09:01.477476,0,0
2025/07/11/14:09:01.527247,0,0
2025/07/11/14:09:01.577266,0,0
2025/07/11/14:09:01.627215,0,0
2025/07/11/14:09:01.677177,0,0
2025/07/11/14:09:01.727153,0,0
2025/07/11/14:09:01.777154,0,0
2025/07/11/14:09:01.827171,0,0
2025/07/11/14:09:01.877203,0,0
2025/07/11/14:09:01.927149,0,0
2025/07/11/14:09:01.977172,0,0
2025/07/11/14:09:02.027119,0,0
2025/07/11/14:09:02.077193,0,0
2025/07/11/14:09:02.127157,0,0
2025/07/11/14:09:02.177227,0,0
2025/07/11/14:09:02.227327,0,0
2025/07/11/14:09:02.277201,0,0
2025/07/11/14:09:02.327193,0,0
2025/07/11/14:09:02.377226,0,0
2025/07/11/14:09:02.427245,0,0
2025/07/11/14:09:02.477478,0,0
2025/07/11/14:09:02.527193,0,0
2025/07/11/14:09:02.577278,0,0
2025/07/11/14:09:02.627231,0,0
2025/07/11/14:09:02.677368,0,0
2025/07/11/14:09:02.727321,0,0
2025/07/11/14:09:02.777375,0,0
2025/07/11/14:09:02.827205,0,0
2025/07/11/14:09:02.877189,0,0
2025/07/11/14:09:02.927396,0,0
2025/07/11/14:09:02.977338,0,0
2025/07/11/14:09:03.027433,0,0
2025/07/11/14:09:03.077232,0,0
2025/07/11/14:09:03.127272,0,0
2025/07/11/14:09:03.177453,0,0
2025/07/11/14:09:03.227232,0,0
2025/07/11/14:09:03.277329,0,0
2025/07/11/14:09:03.327332,0,0
2025/07/11/14:09:03.377289,0,0
2025/07/11/14:09:03.427376,0,0
2025/07/11/14:09:03.477316,0,0
2025/07/11/14:09:03.527229,0,0
2025/07/11/14:09:03.577391,0,0
2025/07/11/14:09:03.627286,0,0
2025/07/11/14:09:03.677268,0,0
2025/07/11/14:09:03.727237,0,0
2025/07/11/14:09:03.777200,0,0
2025/07/11/14:09:03.827125,0,0
2025/07/11/14:09:03.877552,0,0
2025/07/11/14:09:03.927252,0,0
2025/07/11/14:09:03.977323,0,0
2025/07/11/14:09:04.027171,0,0
2025/07/11/14:09:04.077644,0,0
2025/07/11/14:09:04.127337,0,0
2025/07/11/14:09:04.177506,0,0
2025/07/11/14:09:04.227257,0,0
2025/07/11/14:09:04.277552,0,0
2025/07/11/14:09:04.327224,0,0
2025/07/11/14:09:04.377370,0,0
2025/07/11/14:09:04.427179,0,0
2025/07/11/14:09:04.477547,0,0
2025/07/11/14:09:04.527219,0,0
2025/07/11/14:09:04.577584,0,0
2025/07/11/14:09:04.627239,0,0
2025/07/11/14:09:04.677341,0,0
2025/07/11/14:09:04.727278,0,0
2025/07/11/14:09:04.777512,0,0
2025/07/11/14:09:04.827331,0,0
2025/07/11/14:09:04.877462,0,0
2025/07/11/14:09:04.927290,0,0
2025/07/11/14:09:04.977638,0,0
2025/07/11/14:09:05.027280,0,0
2025/07/11/14:09:05.077394,0,0
2025/07/11/14:09:05.127213,0,0
